City,State,Latitude,Longitude,Population
Wuzhou,China,23.483333,111.316667,265846
Hulan Ergi,China,47.204167,123.633333,265344
Mianyang,China,31.459339,104.754235,264136
Tongliao,China,43.6125,122.265278,261110
Jiujiang,China,29.60794,115.887205,258807
Jining,China,41.0275,113.105833,258757
Yining,China,43.881111,81.245833,257671
Heze,China,35.243056,115.441111,254602
Zhumadian,China,32.979444,114.029444,253536
Laohekou,China,32.385833,111.667778,253112
Suihua,China,46.640556,126.996944,252245
Nanyang,China,32.994722,112.532778,251532
Ganzhou,China,25.85,114.933333,249071
Rizhao,China,35.390278,119.545833,246387
Hebi,China,35.899167,114.1925,244662
Yibin,China,28.699702,104.549173,242111
Xiantao,China,30.383333,113.4,239406
Yuci,China,37.680278,112.731944,235929
Linfen,China,36.088889,111.518889,232566
Liaocheng,China,36.443889,115.964722,226930
Ranghulu,China,46.65,124.866667,226298
Tianmen,China,30.65,113.1,224871
Tongchuan,China,34.898799,108.950562,223603
Xintai,China,35.900556,117.751944,222459
Wuxue,China,29.850578,115.552504,220661
Haibowan,China,39.664722,106.812222,218427
Guangyuan,China,32.442015,105.822996,213365
Hailar,China,49.2,119.7,211066
Daliang,China,22.850416,113.247006,210411
Shuangyashan,China,46.636111,131.153889,209521
Sanming,China,26.248611,117.618611,209444
Hangu,China,39.248889,117.789167,208369
Suzhou,China,33.636111,116.978889,205130
Nanchong,China,30.775757,106.102938,204368
Yiyang,China,28.589167,112.328333,202608
Linxia,China,35.600278,103.206389,202402
Yuncheng,China,35.023056,110.992778,201950
Changji,China,44.016667,87.316667,198776
Kaiyuan,China,23.697668,103.303723,198423
Mentougou,China,39.939167,116.091667,197772
Ezhou,China,30.396072,114.886546,193652
Humen,China,22.818985,113.673064,191891
Haicheng,China,40.851582,122.747537,191651
Zouxian,China,35.400556,116.965556,190537
Wanxian,China,30.803889,108.389722,188980
Donghai,China,22.945935,115.642043,188602
Baiyin,China,36.558333,104.208056,188533
Xiaolan,China,22.673811,113.231874,187865
Kuytun,China,44.416667,85,187242
Zaoyang,China,32.127222,112.754167,184509
Quanzhou,China,24.913889,118.585833,184143
Badaojiang,China,41.943056,126.428611,183880
Zaozhuang,China,34.864722,117.554167,183665
Anda,China,46.4,125.316667,181271
Shangqiu,China,34.383333,115.616667,181218
Luan,China,31.756944,116.491389,179665
Korla,China,41.759722,86.146944,179465
Qianjiang,China,30.415128,112.88595,179079
Chenzhou,China,25.8,113.033333,179038
Yizheng,China,32.269167,119.178889,176006
Honghu,China,29.816667,113.466667,175761
Jiutai,China,44.1525,125.832778,175115
Karamay,China,45.600376,84.860142,174828
Bozhou,China,33.877222,115.770278,174140
Licheng,China,23.295537,113.828357,172775
Weinan,China,34.503546,109.508908,172321
Jian,China,27.05,114.9,171718
Dongling,China,41.814444,123.575833,171454
Fuyang,China,32.9,115.816667,170023
Laiyang,China,36.975833,120.713611,169594
Fuling,China,29.702222,107.391944,166507
Gaozhou,China,21.939243,110.846074,166069
Wulanhaote,China,46.083333,122.083333,165846
Jiaozhou,China,36.283889,120.003333,165026
Hengshan,China,45.2,130.916667,164844
Tongzhou,China,39.905278,116.599444,163326
Anbu,China,23.448953,116.680916,162964
Zhicheng,China,30.295556,111.504722,159383
Huzhou,China,30.870301,120.093297,158320
Nanpiao,China,41.098218,120.747923,157044
Yichun,China,47.7,128.9,155762
Beipiao,China,41.791944,120.779167,154999
Guangshui,China,31.616111,113.815556,154771
Leshan,China,29.562275,103.76386,154477
Zhaodong,China,46.083333,125.983333,154406
Xinzhou,China,38.409167,112.733333,154003
Boshan,China,36.483333,117.833333,153596
Chuncheng,China,22.166667,111.783333,153547
Linhai,China,28.85,121.116667,152937
Dingzhou,China,38.513056,114.995556,152934
Weihai,China,37.501667,122.113611,152595
Chenghai,China,23.461319,116.770071,152453
Deyang,China,31.130192,104.381981,152194
Yichun,China,27.833333,114.4,152169
Longfeng,China,46.55,125.116667,152074
Kaili,China,26.5,107.583333,151956
Qingyuan,China,23.7,113.033333,151287
Gaomi,China,36.383333,119.752778,150793
Loudi,China,27.734444,111.994444,150684
Huangyan,China,28.647778,121.259444,150448
Dunhua,China,43.3725,128.2425,148844
Yulin,China,22.633333,110.15,148485
Chizhou,China,30.657778,117.483056,148375
Sujiatun,China,41.659167,123.339167,148113
Honggang,China,46.466667,124.866667,147977
Qujing,China,25.483333,103.783333,146015
Hanzhong,China,33.072778,107.030278,145986
Beian,China,48.266667,126.6,145670
Taicheng,China,22.251347,112.779904,145440
Acheng,China,45.545452,126.977031,144665
Jinchang,China,38.495278,102.173889,144363
Jinhua,China,29.107778,119.654722,142206
Jieshou,China,33.25,115.35,141993
Gongzhuling,China,43.507222,124.812222,140909
Sanbu,China,22.36078,112.688088,140454
Yushan,China,31.377623,120.954305,140039
Altay,China,47.866667,88.116667,139341
Huadian,China,42.963333,126.747778,139047
Fuyu,China,45.183333,124.816667,138704
Chaohu,China,31.6,117.866667,138463
Jieshi,China,22.813377,115.825742,137444
Hami,China,42.8,93.45,137072
Shizuishan,China,39.041944,106.395833,136570
Gejiu,China,23.306022,103.163512,136135
Yongan,China,25.98,117.364167,134858
Dali,China,25.7,100.183333,134040
Puqi,China,29.716667,113.883333,132891
Ankang,China,32.68,109.017222,132654
Zalantun,China,48,122.716667,132224
Dawukou,China,39.041944,106.395833,131880
Daxian,China,31.215921,107.500922,130749
Shuangcheng,China,45.35,126.283333,130710
Wuning,China,29.258873,120.231083,130387
Haicheng,China,22.975326,115.331794,130386
Jiazi,China,22.877914,116.067054,130298
Wuda,China,39.499444,106.711667,129922
Leiyang,China,26.402382,112.859078,129116
Xuanzhou,China,30.9525,118.755278,127758
Huaihua,China,27.549444,109.959167,127322
Jiangyou,China,31.766667,104.716667,127225
Xichang,China,27.896422,102.263415,126787
Danshui,China,22.798396,114.467158,126701
Macheng,China,31.178333,115.031944,126366
Huicheng,China,23.038449,116.28988,125919
Linchuan,China,27.938274,116.292688,125847
Longyan,China,25.107222,117.0225,125778
Xiazhen,China,34.802222,117.111667,125667
Haimen,China,23.193486,116.614218,125427
Ruian,China,27.776047,120.658588,125208
Shahe,China,36.854722,114.4975,125132
Suining,China,30.508017,105.573324,124924
Yushu,China,44.8,126.533333,124736
Laiwu,China,36.192778,117.656944,124108
Jiupu,China,41.066667,122.95,123843
Baoshan,China,46.558611,131.424444,123791
Luoyang,China,23.162442,114.273423,123144
Jiaohe,China,43.728611,127.344722,123018
Huangzhou,China,30.45,114.8,122563
Shishou,China,29.716667,112.4,122411
Zhoucun,China,36.816667,117.816667,122402
Jiayuguan,China,39.816667,98.3,122396
Nancha,China,47.133333,129.266667,121367
Fengcheng,China,40.453611,124.071667,120514
Daan,China,29.382222,106.015,120340
Xingyi,China,25.05,104.983333,119000
Lasa,China,29.65,91.1,118721
Bantou,China,25.443056,118.403333,118557
Liusha,China,23.310722,116.168691,118023
Shunyi,China,40.125,116.645278,117623
Longjing,China,42.771389,129.423333,117185
Yidu,China,36.696667,118.479722,117056
Zhuozhou,China,39.481111,115.963333,116310
Huangpu,China,23.053325,113.512148,116307
Yakeshi,China,49.283333,120.733333,116284
Binzhou,China,37.366667,118.016667,115893
Yingcheng,China,24.165876,113.412675,115538
Lengshuijiang,China,27.688056,111.429444,115399
Wencheng,China,37.193611,122.051111,115370
Mingshui,China,36.716667,117.5,114858
Yuyao,China,30.05,121.149444,114177
Pingshan,China,22.993761,114.713109,113631
Qianguo,China,45.117115,124.856761,113611
Maba,China,24.684125,113.598386,113609
Taonan,China,45.333333,122.783333,112819
Haikou,China,24.779854,102.575483,112644
Shaowu,China,27.340891,117.483096,112585
Beibei,China,29.825556,106.433889,112019
Dongtai,China,32.852311,120.309472,110988
Encheng,China,22.183892,112.302597,110921
Zhuji,China,29.718765,120.242333,110721
Dongli,China,20.791389,110.349722,110107
Linqing,China,36.845556,115.711667,110046
Zhucheng,China,35.994722,119.3975,109968
Linshui,China,36.424722,114.204722,109955
Hailun,China,47.45,126.933333,109881
Shilong,China,23.112269,113.842476,109733
Tieli,China,46.95,128.05,109636
Didao,China,45.366667,130.8,109561
Heihe,China,50.266667,127.466667,109427
Zhaotong,China,27.316667,103.716667,109400
Wuwei,China,37.928056,102.641389,109319
Hulan,China,45.983333,126.6,109104
Rongcheng,China,29.845047,112.951441,108908
Yingzhong,China,31.166111,112.583056,108883
Dehui,China,44.533333,125.7,108818
Yaan,China,29.989788,103.003694,108758
Nehe,China,48.483333,124.833333,108253
Pingliang,China,35.539167,106.686111,108156
Yanan,China,36.598889,109.491667,107960
Jiangyin,China,31.905063,120.26851,107918
Jiangyin,China,31.928249,120.312567,107918
Shaping,China,22.477547,112.845784,107589
Lianran,China,24.922707,102.484959,106795
Longjiang,China,47.330278,123.183611,106384
Buhe,China,30.287567,112.229788,106347
Zhaoyang,China,32.939167,119.834167,105918
Anqiu,China,36.434167,119.1925,105665
Tengzhou,China,35.077061,117.151758,105456
Huangcun,China,39.721389,116.329167,104904
Pulandian,China,39.395278,121.966944,104277
Meilu,China,21.45713,110.765907,104168
Jinchengjiang,China,24.7,108.033333,104138
Jishu,China,44.316667,126.8,103988
Zhoucheng,China,24.355,102.542222,103829
Xiangdong,China,27.7,113.7,103815
Jishou,China,28.316667,109.716667,102332
Rongcheng,China,26.266667,104.016667,102157
Wufeng,China,27.45,104.833333,101728
Qinzhou,China,21.95,108.616667,100996
Zhaocheng,China,37.359167,120.396389,100774
Houma,China,35.61358,111.356601,100630
Liancheng,China,21.646734,110.28172,100341
Linxi,China,39.7,118.433333,100316
Dongsheng,China,39.816085,109.977629,99809
Meihekou,China,42.527222,125.675278,99419
Xingcheng,China,40.616667,120.716667,98968
Lishui,China,28.460417,119.910291,98946
Renqiu,China,38.698889,116.093611,98569
