Name,State,Latitude,Longitude,Population
Kentville,Canada,45.066667,-64.5,12636
Elliot Lake,Canada,46.383333,-82.65,12508
Thompson,Canada,55.75,-97.866667,12467
Grand Centre,Canada,54.416667,-110.215278,12386
Canmore,Canada,51.1,-115.35,12289
Hawkesbury,Canada,45.616667,-74.6,12283
Campbellton,Canada,48,-66.666667,12064
Aldergrove,Canada,49.06,-122.46,11963
Ingersoll,Canada,43.033333,-80.883333,11874
Matane,Canada,48.85,-67.516667,11826
Port Hope,Canada,43.95,-78.3,11765
Whitchurch-Stouffville,Canada,43.966667,-79.25,11696
Amherstburg,Canada,42.1,-83.1,11459
Wetaskiwin,Canada,52.966667,-113.383333,11302
Petawawa,Canada,45.9,-77.283333,11256
New Waterford,Canada,46.25,-60.083333,11026
Haileybury,Canada,47.433333,-79.633333,10991
Cowansville,Canada,45.2,-72.75,10888
Dawson Creek,Canada,55.766667,-120.233333,10802
Wallaceburg,Canada,42.583333,-82.366667,10693
Smiths Falls,Canada,44.9,-76.016667,10553
Sylvan Lake,Canada,52.3,-114.083333,10520
Paris,Canada,43.2,-80.383333,10437
Amos,Canada,48.566667,-78.116667,10435
Baie-Comeau,Canada,49.216667,-68.15,10435
Kitimat,Canada,54,-128.7,10278
Alliston,Canada,44.15,-79.866667,10224
Salmon Arm,Canada,50.7,-119.283333,10093
Lacombe,Canada,52.466667,-113.733333,10059
Strathmore,Canada,51.04,-113.42,10009
Estevan,Canada,49.15,-103,9904
Hinton,Canada,53.4,-117.583333,9889
High River,Canada,50.583333,-113.866667,9826
Nelson,Canada,49.483333,-117.283333,9813
Carleton Place,Canada,45.133333,-76.133333,9743
Trail,Canada,49.1,-117.716667,9707
Selkirk,Canada,50.15,-96.883333,9653
Montmagny,Canada,46.966667,-70.55,9645
Arnprior,Canada,45.433333,-76.366667,9607
Steinbach,Canada,49.516667,-96.683333,9607
Lachute,Canada,45.65,-74.333333,9562
Beamsville,Canada,43.166667,-79.466667,9556
La Tuque,Canada,47.45,-72.783333,9503
Weyburn,Canada,49.666667,-103.85,9362
Amherst,Canada,45.833333,-64.2,9336
Roberval,Canada,48.516667,-72.216667,9287
Kapuskasing,Canada,49.416667,-82.433333,9240
Caledonia,Canada,43.066667,-79.95,9065
Rockland,Canada,45.533333,-75.283333,9023
Uxbridge,Canada,44.1,-79.116667,9020
Oromocto,Canada,45.85,-66.466667,8998
Stony Plain,Canada,53.533333,-114,8939
Gander,Canada,48.95,-54.55,8772
Whitecourt,Canada,54.133333,-115.683333,8763
Lavaltrie,Canada,45.883333,-73.283333,8762
Ladysmith,Canada,48.983333,-123.816667,8740
Sainte-Marie,Canada,46.433333,-71.016667,8735
Castlegar,Canada,49.316667,-117.666667,8715
Elmira,Canada,43.6,-80.55,8614
Dauphin,Canada,51.15,-100.05,8418
Winkler,Canada,49.183333,-97.933333,8270
Bracebridge,Canada,45.033333,-79.3,8238
Acton,Canada,43.633333,-80.033333,8204
Napanee,Canada,44.25,-76.95,8197
Taber,Canada,49.783333,-112.15,8163
Morinville,Canada,53.8,-113.65,8108
Saint-Félicien,Canada,48.65,-72.45,8088
Bridgewater,Canada,44.366667,-64.516667,8070
Goderich,Canada,43.733333,-81.7,8032
Renfrew,Canada,45.466667,-76.683333,8018
Donnacona,Canada,46.666667,-71.733333,8014
Edson,Canada,53.583333,-116.416667,7975
