City,Country,Lat,Long,Pop
Clifton Springs,Australia,-38.1567,144.555099,7413
Carnarvon,Australia,-24.88073,113.659401,7392
Leeton,Australia,-34.551048,146.404831,7299
Blackwater,Australia,-23.583509,148.87912,7250
Gunnedah,Australia,-30.98065,150.258377,7148
Healesville,Australia,-37.65395,145.517181,7098
Narrabri,Australia,-30.32612,149.783707,7082
Maryborough,Australia,-37.04562,143.739227,7046
Somerville,Australia,-38.216667,145.166667,7015
Stawell,Australia,-37.05632,142.780884,6991
Atherton,Australia,-17.268641,145.47522,6959
Crib Point,Australia,-38.35,145.2,6908
Nambucca Heads,Australia,-30.643181,153.008835,6899
Murwillumbah,Australia,-28.32732,153.393387,6868
Cowra,Australia,-33.835541,148.696625,6799
Byron Bay,Australia,-28.64201,153.611938,6764
Moss Vale,Australia,-34.553741,150.371155,6739
Mittagong,Australia,-34.45002,150.445724,6717
Torquay,Australia,-25.283333,152.866667,6670
Australind,Australia,-33.279202,115.715042,6621
Castlemaine,Australia,-37.067089,144.216843,6604
Hastings,Australia,-38.3,145.183333,6583
Tumut,Australia,-35.300159,148.225052,6526
Cooma,Australia,-36.234692,149.125977,6520
Gatton,Australia,-27.558729,152.276184,6513
Kyabram,Australia,-36.313351,145.050354,6396
Collie,Australia,-33.362061,116.156174,6337
Biloela,Australia,-24.416667,150.5,6309
Ingham,Australia,-18.645519,146.162476,6127
Leopold,Australia,-38.19001,144.468246,6120
Ararat,Australia,-37.285419,142.927277,6111
Wonthaggi,Australia,-38.605862,145.593552,5985
Lemon Tree Passage,Australia,-32.731579,152.037186,5865
Northam,Australia,-31.649321,116.674232,5858
Lakes Entrance,Australia,-37.878941,147.995132,5849
Medowie,Australia,-32.741501,151.867599,5841
Kununurra,Australia,-15.77813,128.744141,5679
New Norfolk,Australia,-42.78075,147.059387,5526
Roma,Australia,-26.56741,148.787506,5497
Wellington,Australia,-32.555882,148.945084,5428
Corowa,Australia,-35.999619,146.385803,5179
Cootamundra,Australia,-34.640949,148.028381,4934
Forbes,Australia,-33.384361,148.007599,4838
Yulara,Australia,-25.245291,130.980545,3903
Howard Springs,Australia,-12.49576,131.044464,3359
Nhulunbuy,Australia,-12.18652,136.782013,3202
Jabiru,Australia,-12.67558,132.831406,1892
Maningrida,Australia,-12.05111,134.22258,1391
Port Keats,Australia,-14.24029,129.52092,1351
Galiwinku,Australia,-12.02811,135.564865,1347
Alyangula,Australia,-13.85413,136.421295,1289
Nguiu,Australia,-11.75911,130.638153,1250
Milingimbi,Australia,-12.10188,134.919006,986
Ngukurr,Australia,-14.73081,134.731018,947
