City,Country,Lat,Long,Pop
Apomu,Nigeria,7.333333,4.183333,71657
Fiditi,Nigeria,7.713611,3.917222,71460
Eruwa,Nigeria,7.533333,3.416667,71027
Eha Amufu,Nigeria,6.652226,7.768373,70785
Malumfashi,Nigeria,11.785288,7.621753,70715
Kaura Namoda,Nigeria,12.589788,6.577914,69731
Idah,Nigeria,7.106508,6.73415,68709
Abonnema,Nigeria,4.708438,6.793071,68591
Agbor,Nigeria,6.251827,6.193374,67616
Uga,Nigeria,5.935755,7.079297,64184
Nkwerre,Nigeria,5.75555,7.106273,62997
Auchi,Nigeria,7.066667,6.266667,62912
Ankpa,Nigeria,7.370575,7.6253,61691
Lokoja,Nigeria,7.802359,6.743005,60585
Ekpoma,Nigeria,6.742063,6.139003,59624
Kumo,Nigeria,10.044687,11.21217,35715
Yenagoa,Nigeria,4.924722,6.264167,24335
Dutse,Nigeria,11.759404,9.339207,17129
