City,State,Latitude,Longitude,Population
Yelets,Russia,52.623659,38.501686,115690
Sergiyev Posad,Russia,56.3,38.133333,112921
Nefteyugansk,Russia,61.083333,72.7,112634
Bataysk,Russia,47.139747,39.75181,109964
Seversk,Russia,56.600556,84.886389,109846
Oktyabrskiy,Russia,54.48147,53.471031,109498
Arzamas,Russia,55.394852,43.83992,109480
Leninsk-Kuznetskiy,Russia,54.6567,86.1737,109025
Kyzyl,Russia,51.7,94.45,108241
Obninsk,Russia,55.096806,36.610064,107394
Elista,Russia,46.307778,44.255833,106972
Novotroitsk,Russia,51.203012,58.326653,106187
Derbent,Russia,42.067795,48.289874,105967
Velikie Luki,Russia,56.34,30.54517,103150
Ukhta,Russia,63.567054,53.683478,102188
Kansk,Russia,56.201667,95.7175,101503
Sarapul,Russia,56.470977,53.803603,101346
Zhukovskiy,Russia,55.595278,38.120278,101253
Zelenodolsk,Russia,55.84376,48.517837,101131
Mezhdurechensk,Russia,53.694167,88.060278,101028
Solikamsk,Russia,59.619557,56.772889,100814
Glazov,Russia,58.139411,52.658419,100677
Ust-Ilimsk,Russia,58.000556,102.661944,100272
Novoshakhtinsk,Russia,47.760366,39.933351,99480
Votkinsk,Russia,57.048651,53.987169,98635
Serov,Russia,59.483333,60.516667,98440
Noyabrsk,Russia,63.166667,75.616667,98278
Balashov,Russia,51.5502,43.1667,98108
Zheleznogorsk,Russia,52.331,35.3711,97902
Magadan,Russia,59.566667,150.8,95258
Novyy Urengoy,Russia,66.083333,76.633333,94214
Novouralsk,Russia,57.243889,60.083889,93849
Devyatka,Russia,56.251111,93.531944,93838
Tobolsk,Russia,58.2,68.266667,93651
Bugulma,Russia,54.5378,52.7985,93507
Michurinsk,Russia,52.8978,40.4907,93500
Kineshma,Russia,57.439139,42.128943,92984
Krasnogorsk,Russia,55.820356,37.330166,92934
Chelyabinsk-40,Russia,55.755556,60.702778,91096
Kuznetsk,Russia,53.11675,46.600368,90481
Kirovo-Chepetsk,Russia,58.553859,50.03986,90253
Berdsk,Russia,54.7551,83.0967,90251
Gatchina,Russia,59.576389,30.128333,89763
Gubkin,Russia,51.281667,37.545833,88495
Yeysk,Russia,46.7055,38.2739,87815
Buzuluk,Russia,52.7807,52.2635,87715
