City,State,Latitude,Longitude,Pop
Wesel,Germany,51.666667,6.616667,61768
Sindelfingen,Germany,48.7,9.016667,61686
Schwäbisch Gmünd,Germany,48.8,9.783333,61379
Landshut,Germany,48.533333,12.15,61131
Rosenheim,Germany,47.85,12.133333,60768
Rüsselsheim,Germany,49.9925,8.435,59911
Hameln,Germany,52.1,9.35,59349
Offenburg,Germany,48.483333,7.933333,59109
Menden,Germany,51.433333,7.8,58939
Stolberg,Germany,50.766667,6.233333,58900
Langenfeld,Germany,51.1,6.95,58803
Hattingen,Germany,51.4,7.166667,58076
Göppingen,Germany,48.7,9.666667,58021
Friedrichshafen,Germany,47.65,9.483333,58005
Stralsund,Germany,54.3,13.1,57959
Görlitz,Germany,51.166667,15,57097
Hilden,Germany,51.166667,6.933333,57036
Sankt Augustin,Germany,50.766667,7.183333,56258
Eschweiler,Germany,50.816667,6.283333,55888
Bad Salzuflen,Germany,52.083333,8.766667,55348
Hürth,Germany,50.866667,6.866667,55217
Ahlen,Germany,51.75,7.916667,55112
Meerbusch,Germany,51.283333,6.666667,55053
Wolfenbüttel,Germany,52.166667,10.55,54911
Euskirchen,Germany,50.666667,6.783333,54855
Baden-Baden,Germany,48.75,8.25,54802
Schweinfurt,Germany,50.05,10.233333,54801
Pulheim,Germany,51,6.8,54209
Waiblingen,Germany,48.833333,9.3,53515
Gummersbach,Germany,51.033333,7.55,53244
Nordhorn,Germany,52.433333,7.083333,52906
Cuxhaven,Germany,53.883333,8.7,52873
Wetzlar,Germany,50.55,8.5,52869
Bergkamen,Germany,51.633333,7.633333,52670
Willich,Germany,51.266667,6.55,52100
Greifswald,Germany,54.1,13.383333,51935
Bad Homburg,Germany,50.216667,8.616667,51923
Neu-Ulm,Germany,48.4,10.016667,51654
Emden,Germany,53.366667,7.216667,51639
Erftstadt,Germany,50.816667,6.766667,51606
Lingen,Germany,52.516667,7.316667,51577
Ibbenbüren,Germany,52.266667,7.733333,51305
Passau,Germany,48.583333,13.483333,51091
Schwerte,Germany,51.45,7.566667,50757
Heidenheim,Germany,48.683333,10.15,50684
Neunkirchen,Germany,49.35,7.183333,50432
Langenhagen,Germany,52.45,9.75,49958
Peine,Germany,52.316667,10.233333,49776
Bad Oeynhausen,Germany,52.2,8.8,49698
Cleves,Germany,51.783333,6.15,49448
Hof,Germany,50.316667,11.916667,49353
Bornheim,Germany,50.766667,7,49126
Elmshorn,Germany,53.75,9.65,48744
Soest,Germany,51.583333,8.116667,48720
Rastatt,Germany,48.85,8.2,48452
Ravensburg,Germany,47.783333,9.616667,48441
Frechen,Germany,50.916667,6.816667,48198
Erkrath,Germany,51.216667,6.9,47908
Dülmen,Germany,51.833333,7.3,47899
Lörrach,Germany,47.616288,7.664842,47666
Frankenthal,Germany,49.537222,8.355,47523
Herzogenrath,Germany,50.866667,6.1,47425
Gotha,Germany,50.95,10.716667,47214
Albstadt,Germany,48.25,9.016667,47064
Böblingen,Germany,48.683333,9.016667,46830
Melle,Germany,52.2,8.35,46745
Alsdorf,Germany,50.883333,6.166667,46558
Singen,Germany,47.766667,8.833333,46386
Rheda-Wiedenbrück,Germany,51.833333,8.316667,46378
Leonberg,Germany,48.8,9.016667,46276
Kamen,Germany,51.6,7.666667,46076
Gronau,Germany,52.2,7.033333,46061
Hennef,Germany,50.783333,7.283333,45829
Neustadt,Germany,52.5,9.466667,45661
Wismar,Germany,53.9,11.466667,45432
Stade,Germany,53.6,9.483333,45419
Bünde,Germany,52.2,8.583333,45389
Homburg,Germany,49.316667,7.333333,45010
Amberg,Germany,49.441389,11.862222,44873
Brühl,Germany,50.833333,6.9,44588
Straubing,Germany,48.883333,12.566667,44504
Lehrte,Germany,52.383333,9.966667,44495
Erkelenz,Germany,51.083333,6.316667,44479
Eisenach,Germany,50.983333,10.316667,44399
Fellbach,Germany,48.8,9.283333,44142
Monheim,Germany,51.083333,6.883333,43905
Rodgau,Germany,50.016667,8.833333,43760
Nordhausen,Germany,51.516667,10.8,43709
Lahr,Germany,48.35,7.866667,43676
Bruchsal,Germany,49.128056,8.583611,43615
Filderstadt,Germany,48.666667,9.216667,43580
Pirmasens,Germany,49.2,7.6,43539
Goslar,Germany,51.9,10.433333,43461
Kaufbeuren,Germany,47.883333,10.616667,43454
Bad Kreuznach,Germany,49.833333,7.866667,43317
Oranienburg,Germany,52.75,13.233333,43275
Suhl,Germany,50.6,10.7,43269
Hoyerswerda,Germany,51.433333,14.25,43267
Weinheim,Germany,49.548333,8.666111,43217
Freiberg,Germany,50.916667,13.366667,43160
Rottenburg,Germany,48.466667,8.933333,43117
Nettetal,Germany,51.316667,6.283333,42959
Oberursel,Germany,50.2,8.583333,42880
Kaarst,Germany,51.233333,6.616667,42876
Gifhorn,Germany,52.483333,10.55,42699
Coburg,Germany,50.25,10.966667,42413
Heinsberg,Germany,51.066667,6.083333,42409
Weiden,Germany,49.6775,12.156667,42387
Freising,Germany,48.4,11.733333,42322
Wunstorf,Germany,52.433333,9.416667,42145
Lemgo,Germany,52.033333,8.9,42036
Landau,Germany,49.2075,8.113333,42031
Bietigheim-Bissingen,Germany,48.966667,9.133333,41979
Löhne,Germany,52.183333,8.666667,41805
Völklingen,Germany,49.25,6.85,41799
Bautzen,Germany,51.183333,14.433333,41606
Seevetal,Germany,53.4,9.966667,41557
Eberswalde,Germany,52.833333,13.833333,41384
Königswinter,Germany,50.683333,7.183333,41248
Memmingen,Germany,47.983333,10.166667,41210
Borken,Germany,51.85,6.866667,41179
Dreieich,Germany,50,8.7,41054
Nürtingen,Germany,48.633333,9.35,41002
Aurich,Germany,53.466667,7.483333,40987
Ansbach,Germany,49.3,10.583333,40822
