Name,State,Latitude,Longitude,Population
Mattersburg,Austria,47.73,16.39,6300
Wolkersdorf,Austria,48.39,16.53,6300
Paternion,Austria,46.72,13.63,6200
Asten,Austria,48.23,14.41,6200
Laa,Austria,48.72,16.39,6200
Seeboden,Austria,46.82,13.5,6100
Bad gastein,Austria,47.12,13.13,6100
Eisenerz,Austria,47.54,14.89,6100
Gloggnitz,Austria,47.67,15.93,6100
Pasching,Austria,48.27,14.2,6100
Gallneukirchen,Austria,48.36,14.41,6100
Eberndorf,Austria,46.59,14.63,6000
Tamsweg,Austria,47.14,13.8,6000
Pottendorf,Austria,47.92,16.4,6000
Pressbaum,Austria,48.19,16.08,6000
Furstenfeld,Austria,47.05,16.07,5900
Nenzing,Austria,47.18,9.7,5800
Mittersill,Austria,47.27,12.48,5800
Altach,Austria,47.35,9.65,5800
Reutte,Austria,47.49,10.72,5800
Kindberg,Austria,47.52,15.46,5800
Micheldorf,Austria,47.88,14.14,5800
Timelkam,Austria,48.01,13.6,5800
Gmund,Austria,48.77,14.99,5800
Schrems,Austria,48.79,15.07,5800
Waidhofen,Austria,48.82,15.29,5800
Abtenau,Austria,47.55,13.35,5700
Neusiedl am see,Austria,47.95,16.84,5700
Hainburg,Austria,48.15,16.94,5700
Poysdorf,Austria,48.67,16.63,5700
