Name,State,Latitude,Longitude,Population
Orsova,Romania,44.72,22.4,12800
Sannicolaul mare,Romania,46.08,20.62,12800
Santana,Romania,46.35,21.5,12800
Poiana mare,Romania,43.92,23.07,12700
Scornicesti,Romania,44.57,24.55,12700
Chitila,Romania,44.52,25.98,12500
Rovinari,Romania,44.92,23.18,12400
Sinaia,Romania,45.36,25.54,12400
Tandarei,Romania,44.65,27.67,12400
Draganesti-olt,Romania,44.17,24.53,12100
Videle,Romania,44.29,25.53,11900
Flamanzi,Romania,47.55,26.87,11800
Jilava,Romania,44.33,26.08,11800
Urlati,Romania,44.98,26.23,11800
Darabani,Romania,48.18,26.58,11700
Marasesti,Romania,45.88,27.23,11700
Matca,Romania,45.85,27.53,11700
Tomesti,Romania,47.12,27.68,11700
Bolintinu-din-vale,Romania,44.45,25.75,11600
Holboca,Romania,47.15,27.7,11600
Otelu rosu,Romania,45.54,22.36,11600
Strehaia,Romania,44.63,23.2,11600
Nehoiu,Romania,45.42,26.3,11500
Sacueni,Romania,47.35,22.1,11500
Sovata,Romania,46.6,25.08,11500
Boldesti-scaeni,Romania,45.03,26.03,11400
Pechea,Romania,45.63,27.8,11300
Belcesti,Romania,47.3,27.08,11200
Harlau,Romania,47.44,26.91,11200
Ianca,Romania,45.13,27.45,11200
Jibou,Romania,47.27,23.25,11200
Covasna,Romania,45.86,26.18,11100
Lipova,Romania,46.1,21.7,11100
Maneciu,Romania,45.32,25.98,11100
Dolhasca,Romania,47.43,26.6,11000
Jimbolia,Romania,45.8,20.71,11000
Liesti,Romania,45.62,27.52,11000
Beius,Romania,46.66,22.36,10900
Agnita,Romania,45.97,24.61,10800
Basarabi,Romania,44.18,28.42,10800
Beclean,Romania,47.18,24.18,10800
Costesti,Romania,44.67,24.88,10800
Dofteana,Romania,46.32,26.52,10800
Hateg,Romania,45.62,22.95,10800
Bumbesti-jiu,Romania,45.17,23.4,10500
Macin,Romania,45.26,28.13,10500
Nasaud,Romania,47.3,24.41,10500
Topoloveni,Romania,44.82,25.08,10500
Vladimirescu,Romania,46.15,21.4,10500
Calinesti,Romania,44.82,25.05,10400
Deleni,Romania,47.47,26.88,10400
Valea calugareasca,Romania,44.97,26.15,10400
Alesd,Romania,47.06,22.4,10300
Bucov,Romania,44.97,26.08,10300
Busteni,Romania,45.42,25.55,10300
Targu gangiulesti,Romania,47.2,27,10300
Filipestii de padure,Romania,45,25.75,10200
Nicolae balcescu,Romania,46.47,26.92,10200
Sabaoani,Romania,47.02,26.85,10200
Uricani,Romania,45.33,23.15,10200
Valea lui mihai,Romania,47.52,22.13,10200
Ineu,Romania,46.43,21.85,10100
Otopeni,Romania,44.55,26.07,10100
Sangeorz-bai,Romania,47.37,24.68,10100
Sascut,Romania,46.2,27.1,10100
Titu,Romania,44.66,25.55,10100
Babadag,Romania,44.9,28.74,10000
Ciurea,Romania,47.05,27.57,10000
Harsova,Romania,44.69,27.95,10000
Mihail kogalniceanu,Romania,44.37,28.45,10000
Seini,Romania,47.76,23.28,10000
Poienile de sub munte,Romania,47.82,24.43,9900
Cumpana,Romania,44.12,28.57,9800
Homocea,Romania,46.13,27.23,9800
Liteni,Romania,47.57,26.2,9800
Munteni,Romania,45.93,27.43,9800
Negresti,Romania,46.83,27.43,9800
Ivesti,Romania,45.68,27.52,9700
Modelu,Romania,44.2,27.38,9700
Borcea,Romania,44.33,27.75,9600
Budesti,Romania,44.23,26.45,9600
Cristuru secuiesc,Romania,46.3,25.02,9600
Curtici,Romania,46.35,21.31,9600
Oituz,Romania,46.2,26.62,9600
Podu iloaiei,Romania,47.22,27.27,9600
Simian,Romania,44.62,22.72,9600
Tasnad,Romania,47.48,22.59,9600
Baraolt,Romania,46.09,25.6,9500
Berca,Romania,45.28,26.68,9500
Diosig,Romania,47.3,22,9500
