City,Country,Lat,Long,Pop
Divinópolis,Brazil,-20.15,-44.9,193835
Maracanaú,Brazil,-3.866667,-38.633333,193532
Santarém,Brazil,-2.433333,-54.7,189053
Camaçari,Brazil,-12.483333,-38.216667,188763
Rio Grande,Brazil,-32.033333,-52.083333,187842
Cachoeiro de Itapemirim,Brazil,-20.85,-41.1,187023
Araraquara,Brazil,-21.783333,-48.166667,185191
Itaboraí,Brazil,-22.75,-42.866667,182500
Rio Claro,Brazil,-22.4,-47.55,180151
Indaiatuba,Brazil,-23.083333,-47.233333,179914
Passo Fundo,Brazil,-28.266667,-52.4,179532
Cotia,Brazil,-23.616667,-46.933333,174832
Francisco Morato,Brazil,-23.279503,-46.746403,171793
Araçatuba,Brazil,-21.2,-50.416667,170028
Ferraz de Vasconcelos,Brazil,-23.533333,-46.366667,167904
Arapiraca,Brazil,-9.75,-36.65,166566
Lages,Brazil,-27.8,-50.316667,164679
Barra Mansa,Brazil,-22.533333,-44.183333,164054
Nossa Senhora do Socorro,Brazil,-10.866667,-37.116667,163996
Dourados,Brazil,-22.216667,-54.8,162206
Criciúma,Brazil,-28.666667,-49.383333,161957
Chapecó,Brazil,-27.083333,-52.983333,160160
Sabará,Brazil,-19.9,-43.8,158359
Barreiras,Brazil,-12.133333,-45,158296
Sobral,Brazil,-3.7,-40.35,157998
Itajaí,Brazil,-26.883333,-48.65,155719
Ilhéus,Brazil,-14.816667,-39.033333,155503
Angra dos Reis,Brazil,-23,-44.3,153637
Nova Friburgo,Brazil,-22.266667,-42.533333,153363
Rondonópolis,Brazil,-16.466667,-54.633333,152921
Itapecerica da Serra,Brazil,-23.716667,-46.833333,151608
Guarapuava,Brazil,-25.383333,-51.45,150851
Parnamirim,Brazil,-5.916667,-35.25,150347
Camaragibe,Brazil,-8.016667,-34.966667,148966
Nilópolis,Brazil,-22.808487,-43.419792,147283
Poços de Caldas,Brazil,-21.8,-46.566667,146590
Marabá,Brazil,-5.35,-49.116667,145865
Luziânia,Brazil,-16.25,-47.933333,143601
Macaé,Brazil,-22.383333,-41.783333,143031
Ibirité,Brazil,-20.033333,-44.066667,141376
Paranaguá,Brazil,-25.516667,-48.5,141014
Parnaíba,Brazil,-2.909167,-41.774722,138011
Juàzeiro,Brazil,-9.5,-40.5,137807
Itu,Brazil,-23.266667,-47.316667,137589
Castanhal,Brazil,-1.3,-47.916667,137410
São Caetano do Sul,Brazil,-23.6,-46.566667,136456
Queimados,Brazil,-22.722897,-43.556316,135742
Pindamonhangaba,Brazil,-22.916667,-45.466667,132220
Sapucaia,Brazil,-29.833333,-51.15,130939
Jaraguá do Sul,Brazil,-26.483333,-49.066667,130132
Jequié,Brazil,-13.85,-40.083333,127479
Itapetininga,Brazil,-23.6,-48.05,126245
Patos de Minas,Brazil,-18.583333,-46.533333,126236
Bragança Paulista,Brazil,-22.95,-46.566667,125099
Timon,Brazil,-5.1,-42.816667,124429
Teresópolis,Brazil,-22.424064,-42.968013,123980
Uruguaiana,Brazil,-29.75,-57.083333,123482
Pôrto Seguro,Brazil,-16.433333,-39.083333,123196
Alagoinhas,Brazil,-12.116667,-38.433333,122692
Palhoça,Brazil,-27.633333,-48.666667,122425
Barbacena,Brazil,-21.233333,-43.766667,122213
Cachoeirinha,Brazil,-29.95,-51.083333,121086
Santa Rita,Brazil,-7.133333,-34.966667,119895
Jaú,Brazil,-22.3,-48.55,119209
Cubatão,Brazil,-23.883333,-46.416667,118412
Caxias,Brazil,-4.833333,-43.35,117393
Varginha,Brazil,-21.55,-45.433333,116573
Pouso Alegre,Brazil,-22.216667,-45.933333,115203
Araguaína,Brazil,-7.16,-48.0575,114959
Botucatu,Brazil,-22.866667,-48.433333,113865
Jandira,Brazil,-23.516667,-46.9,113607
Ribeirão Pires,Brazil,-23.716667,-46.416667,111890
Conselheiro Lafaiete,Brazil,-20.666667,-43.8,111598
Resende,Brazil,-22.4679,-44.4575,111515
Araucária,Brazil,-25.583333,-49.416667,111303
Atibaia,Brazil,-23.124167,-46.562222,110970
Várzea Paulista,Brazil,-23.2,-46.833333,110938
Garanhuns,Brazil,-8.9,-36.483333,110087
Araruama,Brazil,-22.883333,-42.333333,109638
Catanduva,Brazil,-21.133333,-48.966667,109615
Franco da Rocha,Brazil,-23.324821,-46.718475,108860
Cabo Frio,Brazil,-22.883333,-42.016667,108241
Araras,Brazil,-22.366667,-47.383333,107465
Poá,Brazil,-23.533333,-46.333333,107434
Vitória de Santo Antão,Brazil,-8.116667,-35.3,107385
Apucarana,Brazil,-23.55,-51.483333,107086
Santa Cruz do Sul,Brazil,-29.716667,-52.433333,106115
Guaratinguetá,Brazil,-22.815156,-45.18923,105882
Linhares,Brazil,-19.416667,-40.066667,105084
Esmeraldas,Brazil,-19.75,-44.316667,103252
Birigui,Brazil,-21.3,-50.316667,102279
Barretos,Brazil,-20.55,-48.55,101222
Colatina,Brazil,-19.533333,-40.616667,101193
Teófilo Otoni,Brazil,-17.85,-41.5,101172
Guaíba,Brazil,-30.111111,-51.316667,101026
Guarapari,Brazil,-20.666667,-40.5,100927
Coronel Fabriciano,Brazil,-19.516667,-42.633333,100918
Itaguaí,Brazil,-22.870755,-43.773821,100756
Ji-Paraná,Brazil,-10.833333,-61.966667,100128
Itabira,Brazil,-19.616667,-43.216667,99498
Votorantim,Brazil,-23.541318,-47.444671,99392
Sertãozinho,Brazil,-21.133333,-47.983333,99213
Santana de Parnaíba,Brazil,-23.45,-46.916667,98991
Bagé,Brazil,-31.333333,-54.1,98943
Passos,Brazil,-20.716667,-46.616667,98753
Salto,Brazil,-23.2,-47.283333,98389
Toledo,Brazil,-24.733333,-53.75,97846
Ubá,Brazil,-21.116667,-42.933333,97829
Ourinhos,Brazil,-22.983333,-49.866667,97801
Trindade,Brazil,-16.666667,-49.5,97523
Arapongas,Brazil,-23.383333,-51.45,97513
Araguari,Brazil,-18.633333,-48.183333,96567
Corumbá,Brazil,-19.016667,-57.65,96523
Erechim,Brazil,-27.633333,-52.283333,96089
Japeri,Brazil,-22.648889,-43.658611,95102
Vespasiano,Brazil,-19.666667,-43.916667,94750
Campo Largo,Brazil,-25.433333,-49.533333,94669
Tatuí,Brazil,-23.346655,-47.848368,93582
Patos,Brazil,-7.016667,-37.266667,92577
Timóteo,Brazil,-19.583333,-42.666667,91723
Muriaé,Brazil,-21.133333,-42.366667,91174
Cambé,Brazil,-23.233333,-51.25,91081
Bayeux,Brazil,-7.133333,-34.933333,91058
Bento Gonçalves,Brazil,-29.166667,-51.516667,90854
Caraguatatuba,Brazil,-23.616667,-45.416667,90844
Itanhaém,Brazil,-24.183333,-46.783333,90387
Santana do Livramento,Brazil,-30.883333,-55.516667,89696
Umuarama,Brazil,-23.75,-53.333333,89688
Almirante Tamandaré,Brazil,-25.3,-49.316667,89500
Planaltina,Brazil,-15.616667,-47.666667,88855
Crato,Brazil,-7.233333,-39.383333,88788
Valinhos,Brazil,-22.95,-47.016667,88631
São Lourenço da Mata,Brazil,-8,-35.05,88417
Nova Lima,Brazil,-19.983333,-43.85,88400
Brusque,Brazil,-27.1,-48.933333,88286
Barra do Piraí,Brazil,-22.466111,-43.827778,87669
Assis,Brazil,-22.666667,-50.416667,87473
Caieiras,Brazil,-23.36193,-46.740681,87199
Igarassu,Brazil,-7.833333,-34.9,86458
Paulo Afonso,Brazil,-9.35,-38.233333,85353
Ituiutaba,Brazil,-18.966667,-49.466667,85346
Esteio,Brazil,-29.85,-51.166667,84903
Sarandi,Brazil,-23.433333,-51.866667,84698
Itaperuna,Brazil,-21.2,-41.9,84436
Codó,Brazil,-4.483333,-43.883333,83289
Araxá,Brazil,-19.583333,-46.916667,82597
Abreu e Lima,Brazil,-7.9,-34.883333,81960
Itajubá,Brazil,-22.433333,-45.45,81871
Lavras,Brazil,-21.233333,-45,81474
Avaré,Brazil,-23.083333,-48.916667,81287
Formosa,Brazil,-15.533333,-47.333333,81233
Leme,Brazil,-22.2,-47.4,81211
Itumbiara,Brazil,-18.416667,-49.216667,79583
Maricá,Brazil,-22.916667,-42.816667,79552
Ubatuba,Brazil,-23.433333,-45.066667,79008
Três Lagoas,Brazil,-20.8,-51.716667,78714
São João del Rei,Brazil,-21.15,-44.266667,78593
Moji-Mirim,Brazil,-22.433333,-46.95,78245
Abaetetuba,Brazil,-1.7,-48.9,78052
São Bento do Sul,Brazil,-26.249722,-49.3825,77598
Alegrete,Brazil,-29.766667,-55.766667,77540
Itaúna,Brazil,-20.066667,-44.566667,77402
São Mateus,Brazil,-18.733333,-39.85,77119
Jataí,Brazil,-17.883333,-51.716667,76548
São João da Boa Vista,Brazil,-21.966667,-46.783333,76541
Lorena,Brazil,-22.733333,-45.133333,76507
Santa Cruz do Capibaribe,Brazil,-7.95,-36.2,76451
São Sebastião,Brazil,-23.8,-45.416667,76369
Tucuruí,Brazil,-3.7,-49.7,76339
Embu-Guaçu,Brazil,-23.816667,-46.8,76311
Sapiranga,Brazil,-29.633333,-51,76053
Pará de Minas,Brazil,-19.85,-44.616667,75787
Candeias,Brazil,-12.666667,-38.55,75673
Cachoeira do Sul,Brazil,-30.033333,-52.9,74696
Santo Antônio de Jesus,Brazil,-12.966667,-39.266667,73959
Cáceres,Brazil,-16.066667,-57.683333,73431
Paranavaí,Brazil,-23.066667,-52.466667,72849
João Monlevade,Brazil,-19.833333,-43.133333,72763
Matão,Brazil,-21.583333,-48.366667,72469
Bacabal,Brazil,-4.233333,-44.783333,72374
Caçapava,Brazil,-23.1,-45.716667,72341
Arujá,Brazil,-23.4,-46.333333,72078
Cruzeiro,Brazil,-22.566667,-44.966667,72023
Patrocínio,Brazil,-18.95,-46.983333,71964
Três Rios,Brazil,-22.111389,-43.207778,71945
Bebedouro,Brazil,-20.933333,-48.466667,71863
São Cristóvão,Brazil,-11.016667,-37.2,71540
Alfenas,Brazil,-21.433333,-45.95,71407
Ijuí,Brazil,-28.383333,-53.916667,71203
Altamira,Brazil,-3.2,-52.2,70890
Paracatu,Brazil,-17.216667,-46.866667,70754
Carpina,Brazil,-7.85,-35.25,70690
Iguatu,Brazil,-6.366667,-39.3,70381
Paragominas,Brazil,-2.966667,-47.483333,69616
Lins,Brazil,-21.666667,-49.75,69452
Jaboticabal,Brazil,-21.266667,-48.316667,69396
