Name,State,Latitude,Longitude,Population
Jyderup,Denmark,55.67,11.43,3900
Olgod,Denmark,55.82,8.62,3900
Stege,Denmark,54.98,12.3,3900
Fakse,Denmark,55.25,12.13,3800
Havdrup,Denmark,55.53,12.13,3800
Hong,Denmark,55.52,11.3,3800
Hvalso,Denmark,55.6,11.87,3800
Jaegerspris,Denmark,55.85,11.98,3800
Lind,Denmark,56.1,8.98,3800
Nexo,Denmark,55.07,15.15,3800
Gistrup,Denmark,57,10,3700
Langeskov,Denmark,55.37,10.6,3700
Praesto,Denmark,55.12,12.05,3700
Svejbaek,Denmark,56.13,9.63,3700
Vildbjerg,Denmark,56.2,8.77,3700
Dianalund,Denmark,55.53,11.5,3600
Gjellerup kirkeby,Denmark,56.15,9.05,3600
Juelsminde,Denmark,55.71,10.02,3600
Stilling,Denmark,56.07,10,3600
Store heddinge,Denmark,55.32,12.42,3600
Klarup,Denmark,57.02,10.05,3500
Snejbjerg,Denmark,56.13,8.92,3500
Stavtrup,Denmark,56.13,10.12,3500
Sunds,Denmark,56.2,9.02,3500
Bogense,Denmark,55.57,10.1,3400
Borkop,Denmark,55.65,9.65,3400
Fjerritslev,Denmark,57.08,9.27,3400
Toftlund,Denmark,55.18,9.07,3400
Broager,Denmark,54.88,9.68,3300
Farso,Denmark,56.78,9.35,3300
Graested,Denmark,56.07,12.28,3300
Hjallerup,Denmark,57.17,10.15,3300
Hvide sande,Denmark,55.98,8.13,3300
Malling,Denmark,56.03,10.17,3300
Seden,Denmark,55.42,10.45,3300
Thuro,Denmark,55.05,10.67,3300
Tollose,Denmark,55.62,11.75,3300
Arslev,Denmark,55.3,10.48,3200
Braedstrup,Denmark,55.97,9.62,3200
Hornbaek,Denmark,56.08,12.47,3200
Skaerbaek,Denmark,55.15,8.77,3200
Augustenborg,Denmark,54.95,9.88,3100
Frederiksberg,Denmark,55.42,11.57,3100
Glamsbjerg,Denmark,55.27,10.12,3100
Holsted,Denmark,55.5,8.92,3100
Logumkloster,Denmark,55.05,8.95,3100
Virklund,Denmark,56.12,9.57,3100
Vissenbjerg,Denmark,55.38,10.13,3100
Borup,Denmark,55.5,11.98,3000
Bullerup,Denmark,55.43,10.48,3000
Dronninglund,Denmark,57.15,10.3,3000
Framlev,Denmark,56.15,10.02,3000
Hammerum,Denmark,56.13,9.07,3000
Vinderup,Denmark,56.48,8.78,3000
Aulum,Denmark,56.27,8.8,2900
Jelling,Denmark,55.75,9.43,2900
Liseleje,Denmark,56.02,11.98,2900
Pandrup,Denmark,57.23,9.68,2900
Sindal,Denmark,57.47,10.22,2900
Solbjerg,Denmark,56.05,10.08,2900
Sundby,Denmark,54.85,11.78,2900
Taulov,Denmark,55.55,9.62,2900
Aalestrup,Denmark,56.7,9.5,2800
Fakse ladeplads,Denmark,55.22,12.18,2800
Ganlose,Denmark,55.78,12.27,2800
Hurup,Denmark,56.75,8.42,2800
Oksbol,Denmark,55.63,8.28,2800
Sonderso,Denmark,55.48,10.27,2800
Storvorde,Denmark,57,10.1,2800
Tinglev,Denmark,54.93,9.25,2800
Ullerslev,Denmark,55.37,10.67,2800
Brovst,Denmark,57.1,9.53,2700
Christiansfeld,Denmark,55.35,9.48,2700
Langa,Denmark,56.38,9.9,2700
Lunderskov,Denmark,55.48,9.3,2700
Marslet,Denmark,56.07,10.17,2700
Norre aaby,Denmark,55.45,9.9,2700
Rodding,Denmark,55.37,9.07,2700
