City,State,Lat,Long,Pop
Colmenar Viejo,Spain,40.6596,-3.766346,38913
Villena,Spain,38.637303,-0.865682,38150
Benalmádena,Spain,36.595372,-4.573222,38147
Ronda,Spain,36.746115,-5.161443,38040
Alcantarilla,Spain,37.96939,-1.217138,37969
Écija,Spain,37.542203,-5.082599,37865
San Bartolomé de Tirajana,Spain,27.923673,-15.573557,37575
Lucena,Spain,37.410533,-4.486109,37402
Puerto Real,Spain,36.528604,-6.191022,36946
Mairena del Aljarafe,Spain,37.34461,-6.063913,36774
Valdemoro,Spain,40.189007,-3.675662,36688
Andújar,Spain,38.039221,-4.050775,36594
Cieza,Spain,38.239984,-1.419874,36545
Miranda de Ebro,Spain,42.686503,-2.94695,36386
Manacor,Spain,39.570524,3.211409,36095
Igualada,Spain,41.580977,1.6172,35711
Arucas,Spain,28.115992,-15.518724,35344
Vic,Spain,41.929335,2.255497,35337
Soria,Spain,41.764335,-2.468251,35129
Blanes,Spain,41.675766,2.789078,34894
Pinto,Spain,40.240899,-3.696467,34665
Yecla,Spain,38.613188,-1.111795,34118
Úbeda,Spain,38.013284,-3.370496,33052
Tortosa,Spain,40.812492,0.521602,32836
Ripollet,Spain,41.496859,2.157387,32670
Narón,Spain,43.516667,-8.152778,32509
Teruel,Spain,40.345073,-1.104106,32210
Olot,Spain,42.181691,2.48476,31901
Sestao,Spain,43.310134,-3.002997,31709
Tudela,Spain,42.061308,-1.607164,31687
Don Benito,Spain,38.956274,-5.861622,31425
Tomelloso,Spain,39.158516,-3.020826,31320
Águilas,Spain,37.405983,-1.5853,30739
Boadilla del Monte,Spain,40.402784,-3.875623,30354
Aranda de Duero,Spain,41.671664,-3.68795,30326
La Rinconada,Spain,37.487342,-5.982579,30051
Burriana,Spain,39.889007,-0.084989,29791
Redondela,Spain,42.283366,-8.609603,29583
Puerto de la Cruz,Spain,28.383333,-16.55,29039
Novelda,Spain,38.384786,-0.767731,28974
Arcos de la Frontera,Spain,36.750752,-5.81056,28754
Hellín,Spain,38.510605,-1.700961,28691
Éibar,Spain,43.18476,-2.473804,28520
Premiá de Mar,Spain,41.492256,2.359029,28455
Morón de la Frontera,Spain,37.120836,-5.45403,28438
Carballo,Spain,43.214403,-8.691015,28409
Galapagar,Spain,40.576801,-4.006317,28271
Rincón de la Victoria,Spain,36.716141,-4.287813,27924
Oleiros,Spain,43.333333,-8.316667,27510
Almendralejo,Spain,38.683159,-6.407468,27423
