City,Country,Lat,Long,Pop
Backo Petrovo Selo,Serbia,45.708056,20.075278,7129
Cantavir,Serbia,45.920278,19.763056,7039
Majur,Serbia,44.769722,19.654444,6984
Arilje,Serbia,43.753056,20.095556,6921
Dimitrovgrad,Serbia,43.014167,22.775556,6887
Dolovo,Serbia,44.901111,20.8775,6861
Baric,Serbia,44.652222,20.259444,6837
Veliki Trnovac,Serbia,42.476667,21.740278,6812
Kovacica,Serbia,45.111667,20.621389,6693
Backi Petrovac,Serbia,45.360556,19.591667,6649
Mol,Serbia,45.764167,20.131111,6649
Raska,Serbia,43.287222,20.615278,6622
Banja Koviljaca,Serbia,44.5125,19.158333,6540
Omoljica,Serbia,44.760556,20.728056,6490
Melenci,Serbia,45.513889,20.317222,6439
Beska,Serbia,45.129722,20.066111,6328
Backi Jarak,Serbia,45.370278,19.875,6250
Pocerski Pricinovic,Serbia,44.722222,19.707222,6187
Zvecka,Serbia,44.638889,20.164722,6180
Vranjska Banja,Serbia,42.555,21.992222,6159
Rumenka,Serbia,45.293056,19.743889,6139
Horgos,Serbia,46.155556,19.9725,6123
Kljajicevo,Serbia,45.769722,19.277778,6115
Bac,Serbia,45.391944,19.236667,6110
Jakovo,Serbia,44.756389,20.260556,6077
Ub,Serbia,44.456111,20.073889,6068
Bolec,Serbia,44.724722,20.603333,6050
Bavaniste,Serbia,44.818889,20.875833,6027
Vinca,Serbia,44.76,20.619722,6027
Donji Komren,Serbia,43.349167,21.880556,5969
Stari Banovci,Serbia,44.986389,20.286667,5916
Mokrin,Serbia,45.935833,20.407222,5833
Titel,Serbia,45.206111,20.294444,5831
Banatski Karlovac,Serbia,45.047222,21.016111,5799
Veliko Gradiste,Serbia,44.756667,21.513611,5752
Kovilj,Serbia,45.227778,20.021667,5736
Padina,Serbia,45.118056,20.727222,5731
Topola,Serbia,44.254167,20.6825,5663
Kusadak,Serbia,44.399722,20.803333,5630
Batocina,Serbia,44.153611,21.081667,5622
Stara Moravica,Serbia,45.868889,19.466111,5559
Celarevo,Serbia,45.269444,19.525278,5554
Lozovik,Serbia,44.4625,21.103333,5545
Backo Gradiste,Serbia,45.532778,20.028333,5453
Mali Idos,Serbia,45.708333,19.665278,5412
Badovinci,Serbia,44.785833,19.371389,5402
Kisac,Serbia,45.350278,19.728611,5395
Umka,Serbia,44.678056,20.304722,5336
Durdevo,Serbia,45.324722,20.064722,5295
Bezdan,Serbia,45.852778,18.930556,5270
Vojka,Serbia,44.939722,20.153889,5173
Ruski Krstur,Serbia,45.562778,19.415833,5122
Cicevac,Serbia,43.720278,21.445833,5031
Irig,Serbia,45.101111,19.858333,4988
Radinac,Serbia,44.626944,20.968056,4918
Krupanj,Serbia,44.365556,19.361944,4913
Karavukovo,Serbia,45.495,19.188056,4894
Sonta,Serbia,45.594722,19.098056,4881
Mali Zvornik,Serbia,44.395278,19.115833,4875
Rusanj,Serbia,44.681667,20.440556,4839
Prigrevica,Serbia,45.678611,19.086667,4808
Crepaja,Serbia,45.009444,20.635556,4794
Sajkas,Serbia,45.272222,20.089722,4785
Koceljeva,Serbia,44.473611,19.811667,4748
Stanisic,Serbia,45.94,19.165278,4748
Lesnica,Serbia,44.6525,19.31,4715
Donja Vrezina,Serbia,43.328889,21.950556,4676
Opovo,Serbia,45.052222,20.430278,4657
Brzi Brod,Serbia,43.310278,21.966667,4656
Kucura,Serbia,45.518889,19.588056,4653
Brus,Serbia,43.383611,21.033611,4651
Coka,Serbia,45.9425,20.143333,4617
Babusnica,Serbia,43.059722,22.411667,4606
Azanja,Serbia,44.433056,20.879722,4603
Veliki Crljeni,Serbia,44.4675,20.284444,4565
Kucevo,Serbia,44.4775,21.67,4552
Despotovac,Serbia,44.0925,21.446944,4489
Lucani,Serbia,43.860833,20.138056,4324
Ljubovija,Serbia,44.189444,19.376667,4243
Kosjeric,Serbia,43.996111,19.906944,4200
Ostruznica,Serbia,44.728333,20.319167,4005
Macvanska Mitrovica,Serbia,44.965556,19.598056,3862
Boljevac,Serbia,43.830278,21.953056,3765
Beli Potok,Serbia,43.535833,22.082222,3645
Lajkovac,Serbia,44.369444,20.165278,3450
Alibunar,Serbia,45.080833,20.965833,3353
Cajetina,Serbia,43.75,19.716667,3309
Zitiste,Serbia,45.485,20.549722,3297
Osecina,Serbia,44.373056,19.601389,3272
Vucje,Serbia,42.865278,21.911389,3190
Donji Milanovac,Serbia,44.475556,22.115833,3069
Ljig,Serbia,44.224444,20.240278,3060
Mataruska Banja,Serbia,43.688611,20.610556,2887
Jasa Tomic,Serbia,45.446944,20.855278,2876
Pinosava,Serbia,44.695278,20.480833,2871
Ribnica,Serbia,43.71,20.690833,2770
Medveda,Serbia,43.629167,21.078333,2759
Raca,Serbia,44.919167,19.287222,2757
Bosilegrad,Serbia,42.4975,22.468611,2713
Zlatibor,Serbia,43.723333,19.704167,2497
Grdelica,Serbia,42.901667,22.07,2371
Resavica,Serbia,44.066389,21.520278,2309
Ovca,Serbia,44.887778,20.535556,2300
Guca,Serbia,43.776667,20.225278,2014
Rudovci,Serbia,44.366667,20.416667,1779
Sopot,Serbia,44.519722,20.573611,1775
Mionica,Serbia,44.251944,20.081667,1724
Baljevac,Serbia,43.3925,20.636389,1625
Bogovina,Serbia,43.895,21.940278,1201
Predejane,Serbia,42.829444,22.131111,1174
Josanicka Banja,Serbia,43.389167,20.752222,1145
Brza Palanka,Serbia,44.466667,22.45,1054
